Sample,fishnclips,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment
391,Yes,-33.50165,115.4101333,20141213,8:23:00,Geographe.Bay,Fished,NA,17,Lizzy,Yes,Yes,NA
394,Yes,-33.5181,115.3820167,20141216,13:18:00,Geographe.Bay,Fished,NA,19,Lizzy,Yes,Yes,NA
395,Yes,-33.6072833,115.3444333,20141217,10:08:00,Geographe.Bay,Fished,NA,9.2,Laura,Yes,Yes,NA
399,Yes,-33.6143333,115.31295,20141217,10:17:00,Geographe.Bay,Fished,NA,10.8,Laura,Yes,Yes,NA
400,Yes,-33.3575833,115.5516833,20141214,8:58:00,Geographe.Bay,Fished,NA,9.8,Damon,Yes,Yes,NA
407,Yes,-33.4881667,115.4274667,20141213,8:13:00,Geographe.Bay,Fished,NA,16.2,Lauren,Yes,Yes,NA
416,Yes,-33.6147833,115.2806167,20141217,10:34:00,Geographe.Bay,Fished,NA,12.3,Laura,Yes,Yes,NA
428,Yes,-33.45045,115.5572167,20141216,6:31:00,Geographe.Bay,Fished,NA,7.6,Lauren,Yes,Yes,NA
432,Yes,-33.4270333,115.4686,20141214,13:19:00,Geographe.Bay,Fished,NA,10.7,Lauren,Yes,Yes,NA
439,Yes,-33.6309333,115.2730667,20141217,10:29:00,Geographe.Bay,Fished,NA,8.4,Laura,Yes,Yes,NA
442,Yes,-33.5066,115.41935,20141212,13:28:00,Geographe.Bay,Fished,NA,14.3,Lizzy,Yes,Yes,NA
443,Yes,-33.5698,115.2024833,20141212,6:34:00,Geographe.Bay,Fished,NA,27,Laura,Yes,Yes,NA
448,Yes,-33.3965,115.4930667,20141214,13:05:00,Geographe.Bay,Fished,NA,10.6,Lizzy,Yes,Yes,NA
451,Yes,-33.41975,115.5529,20141214,11:32:00,Geographe.Bay,Fished,NA,7.8,Lauren,Yes,Yes,NA
455,Yes,-33.5671333,115.1820333,20141215,8:42:00,Geographe.Bay,Fished,NA,24.9,Lizzy,Yes,Yes,NA
458,Yes,-33.51505,115.50435,20141216,10:58:00,Geographe.Bay,Fished,NA,6.2,Lizzy,Yes,Yes,NA
463,Yes,-33.51505,115.50435,20141212,8:03:00,Geographe.Bay,Fished,NA,24.3,Lizzy,Yes,Yes,NA
474,Yes,-33.4681167,115.5436,20141216,6:23:00,Geographe.Bay,Fished,NA,6.8,Laura,Yes,Yes,NA
480,Yes,-33.3475833,115.5777,20141214,9:06:00,Geographe.Bay,Fished,NA,7.4,Laura,Yes,Yes,NA
490,Yes,-33.5613,115.3612,20141217,6:20:00,Geographe.Bay,Fished,NA,13.4,Lizzy,Yes,Yes,NA
492,Yes,-33.4637833,115.4974833,20141216,8:40:00,Geographe.Bay,Fished,NA,14.7,Laura,Yes,Yes,NA
496,Yes,-33.4851167,115.4752333,20141216,10:42:00,Geographe.Bay,Fished,NA,15.3,Lauren,Yes,Yes,NA
499,Yes,-33.45165,115.5441167,20141216,6:36:00,Geographe.Bay,Fished,NA,9.9,Lauren,Yes,Yes,NA
503,Yes,-33.5845333,115.3097667,20141217,7:48:00,Geographe.Bay,Fished,NA,16.3,Lizzy,Yes,Yes,NA
506,Yes,-33.5173833,115.4165,20141216,11:23:00,Geographe.Bay,Fished,NA,14.1,Lizzy,Yes,Yes,NA
512,Yes,-33.5094,115.4873333,20141216,11:03:00,Geographe.Bay,Fished,NA,10.6,Lizzy,Yes,Yes,NA
523,Yes,-33.5634333,115.1589167,20141215,8:35:00,Geographe.Bay,Fished,NA,26,Laura,Yes,Yes,NA
527,Yes,-33.5894167,115.2078167,20141212,6:16:00,Geographe.Bay,Fished,NA,26.8,laura,Yes,Yes,NA
528,Yes,-33.48105,115.4971,20141216,8:34:00,Geographe.Bay,Fished,NA,14,Lauren,Yes,Yes,NA
538,Yes,-33.5839167,115.3846667,20141217,5:53:00,Geographe.Bay,Fished,NA,11.6,Laura,Yes,Yes,NA
543,Yes,-33.5950333,115.2434,20141215,13:13:00,Geographe.Bay,Fished,NA,16.7,Lauren,Yes,Yes,NA
544,Yes,-33.4464167,115.43405,20141214,13:36:00,Geographe.Bay,Fished,NA,12.3,Lauren,Yes,Yes,NA
551,Yes,-33.5735167,115.3901333,20141217,5:58:00,Geographe.Bay,Fished,NA,11.7,Lizzy,Yes,Yes,NA
554,Yes,-33.55765,115.3835167,20141217,6:13:00,Geographe.Bay,Fished,NA,12.3,Laura,Yes,Yes,NA
560,Yes,-33.4381667,115.5268667,20141216,6:49:00,Geographe.Bay,Fished,NA,14.6,Lauren,Yes,Yes,NA
567,Yes,-33.5866833,115.2760167,20141217,8:23:00,Geographe.Bay,Fished,NA,17.4,Lizzy,Yes,Yes,NA
570,Yes,-33.5731333,115.1625333,20141215,8:31:00,Geographe.Bay,Fished,NA,24.6,Lauren,Yes,Yes,NA
572,Yes,-33.3913,115.5492167,20141214,10:54:00,Geographe.Bay,Fished,NA,8.1,Lauren,Yes,Yes,NA
579,Yes,-33.5017167,115.37405,20141216,13:10:00,Geographe.Bay,Fished,NA,22,Laura,Yes,Yes,NA
583,Yes,-33.47835,115.3932,20141214,13:55:00,Geographe.Bay,Fished,NA,12,Damon,Yes,Yes,NA
586,Yes,-33.5309167,115.38595,20141216,13:24:00,Geographe.Bay,Fished,NA,15.8,Lizzy,Yes,Yes,NA
587,Yes,-33.5934667,115.1873833,20141215,11:03:00,Geographe.Bay,Fished,NA,16.6,Lizzy,Yes,Yes,NA
592,Yes,-33.5185,115.4460167,20141216,11:15:00,Geographe.Bay,Fished,NA,12.3,Laura,Yes,Yes,NA
599,Yes,-33.5021167,115.4508,20141213,6:22:00,Geographe.Bay,Fished,NA,13.9,Laura,Yes,Yes,NA
602,Yes,-33.6202,115.25615,20141215,12:57:00,Geographe.Bay,Fished,NA,11.2,Lauren,Yes,Yes,NA
608,Yes,-33.4551833,115.4702833,20141216,9:01:00,Geographe.Bay,Fished,NA,16.7,Lauren,Yes,Yes,NA
611,Yes,-33.5421333,115.4590333,20141216,15:45:00,Geographe.Bay,Fished,NA,8.2,Laura,Yes,Yes,NA
615,Yes,-33.5980667,115.3327667,20141217,9:56:00,Geographe.Bay,Fished,NA,11.8,Lauren,Yes,Yes,NA
618,Yes,-33.5678833,115.3528167,20141217,5:40:00,Geographe.Bay,Fished,NA,14.5,Lizzy,Yes,Yes,NA
623,Yes,-33.6129333,115.1556167,20141215,10:24:00,Geographe.Bay,Fished,NA,7.8,Lizzy,Yes,Yes,NA
624,Yes,-33.4209667,115.4918833,20141216,7:03:00,Geographe.Bay,Fished,NA,17.5,Lizzy,Yes,Yes,NA
631,Yes,-33.5778833,115.2541167,20141215,13:33:00,Geographe.Bay,Fished,NA,21,Lauren,Yes,Yes,NA
633,Yes,-33.4711667,115.4535,20141216,9:18:00,Geographe.Bay,Fished,NA,16.2,Lauren,Yes,Yes,NA
634,Yes,-33.5336667,115.4141167,20141216,15:30:00,Geographe.Bay,Fished,NA,13,Laura,Yes,Yes,NA
635,Yes,-33.5809667,115.1995667,20141215,8:52:00,Geographe.Bay,Fished,NA,21.2,Lauren,Yes,Yes,NA
640,Yes,-33.5162,115.4646167,20141216,11:10:00,Geographe.Bay,Fished,NA,11.5,Lizard,Yes,Yes,NA
647,Yes,-33.4926,115.42465,20141213,8:17:00,Geographe.Bay,Fished,NA,15.3,Lauren,Yes,Yes,NA
650,Yes,-33.5131167,115.3715667,20141216,13:14:00,Geographe.Bay,Fished,NA,21.1,Lizzy,Yes,Yes,NA
655,Yes,-33.5812,115.2456833,20141215,13:20:00,Geographe.Bay,Fished,NA,20.5,Lauren,Yes,Yes,NA
656,Yes,-33.3713167,115.5503833,20141214,9:28:00,Geographe.Bay,Fished,NA,9,Lauren,Yes,Yes,NA
666,Yes,-33.5511167,115.35715,20141217,6:25:00,Geographe.Bay,Fished,NA,15.6,Lizzy,Yes,Yes,NA
672,Yes,-33.4004333,115.53565,20141214,11:45:00,Geographe.Bay,Fished,NA,8.4,Lauren,Yes,Yes,NA
679,Yes,-33.4721333,115.4152667,20141214,13:48:00,Geographe.Bay,Fished,NA,12,Lauren,Yes,Yes,NA
682,Yes,-33.5696167,115.3354167,20141217,7:57:00,Geographe.Bay,Fished,NA,15.2,Damon,Yes,Yes,NA
684,Yes,-33.5845333,115.1735,20141215,9:00:00,Geographe.Bay,Fished,NA,20.6,Lizzy,Yes,Yes,NA
688,Yes,-33.6026333,115.3181333,20141217,9:52:00,Geographe.Bay,Fished,NA,12.8,Laura,Yes,Yes,NA
694,Yes,-33.5280667,115.34985,20141216,13:32:00,Geographe.Bay,Fished,NA,21.3,Lizzy,Yes,Yes,NA
698,Yes,-33.5246167,115.4035333,20141212,13:25:00,Geographe.Bay,Fished,NA,14,Lizzy,Yes,Yes,NA
704,Yes,-33.48475,115.5324,20141216,6:15:00,Geographe.Bay,Fished,NA,7.45,Lizzy,Yes,Yes,NA
711,Yes,-33.36945,115.5666,20141214,9:24:00,Geographe.Bay,Fished,NA,8.4,Laura,Yes,Yes,NA
714,Yes,-33.5792667,115.1468167,20141215,8:26:00,Geographe.Bay,Fished,NA,21.1,Lauren,Yes,Yes,NA
719,Yes,-33.6009667,115.23245,20141212,5:59:00,Geographe.Bay,Fished,NA,26.3,Laura,Yes,Yes,NA
720,Yes,-33.3599,115.58345,20141214,9:11:00,Geographe.Bay,Fished,NA,8.2,Laura,Yes,Yes,NA
735,Yes,-33.5620333,115.1433167,20141215,6:27:00,Geographe.Bay,Fished,NA,26.7,Lauren,Yes,Yes,NA
736,Yes,-33.3850833,115.5606333,20141214,10:59:00,Geographe.Bay,Fished,NA,8.2,Lauren,Yes,Yes,NA
746,Yes,-33.5794333,115.3570667,20141217,5:45:00,Geographe.Bay,Fished,NA,13.2,Damon,Yes,Yes,NA
748,Yes,-33.3695667,115.5138333,20141214,8:46:00,Geographe.Bay,Fished,NA,11.1,Lizzy,Yes,Yes,NA
752,Yes,-33.3765667,115.5914167,20141214,9:15:00,Geographe.Bay,Fished,NA,6.2,Damon,Yes,Yes,NA
755,Yes,-33.43385,115.4571167,20141214,13:27:00,Geographe.Bay,Fished,NA,11.3,Lauren,Yes,Yes,NA
759,Yes,-33.5759,115.3173333,20141217,7:52:00,Geographe.Bay,Fished,NA,17.3,Lauren,Yes,Yes,NA
762,Yes,-33.5198667,115.4149,20141212,13:44:00,Geographe.Bay,Fished,NA,13,laura,Yes,Yes,NA
764,Yes,-33.3744333,115.49605,20141214,8:43:00,Geographe.Bay,Fished,NA,11.6,Lauren,Yes,Yes,NA
779,Yes,-33.5817167,115.2263667,20141217,8:11:00,Geographe.Bay,Fished,NA,19,Lizzy,Yes,Yes,NA
782,Yes,-33.5142,115.4368333,20141213,6:06:00,Geographe.Bay,Fished,NA,13.7,Laura,Yes,Yes,NA
783,Yes,-33.5817167,115.2263667,20141212,8:12:00,Geographe.Bay,Fished,NA,21.5,Lauren,Yes,Yes,NA
784,Yes,-33.6014333,115.1773667,20141215,11:07:00,Geographe.Bay,Fished,NA,13.4,Laura,Yes,Yes,NA
791,Yes,-33.4851333,115.4435167,20141213,8:03:00,Geographe.Bay,Fished,NA,15,Lizzy,Yes,Yes,NA
794,Yes,-33.6248167,115.2039333,20141215,10:38:00,Geographe.Bay,Fished,NA,7.4,Lizzy,Yes,Yes,NA
800,Yes,-33.5731667,115.1934833,20141215,8:48:00,Geographe.Bay,Fished,NA,22.9,Laura,Yes,Yes,NA
807,Yes,-33.494,115.4907,20141216,10:50:00,Geographe.Bay,Fished,NA,14,Lizzy,Yes,Yes,NA
810,Yes,-33.5513333,115.3766,20141216,13:44:00,Geographe.Bay,Fished,NA,14.3,Lizzy,Yes,Yes,NA
816,Yes,-33.3996,115.56325,20141214,11:09:00,Geographe.Bay,Fished,NA,7.9,Lizzy,Yes,Yes,NA
823,Yes,-33.5857333,115.2872167,20141217,8:19:00,Geographe.Bay,Fished,NA,16.2,Lizzy,Yes,Yes,NA
826,Yes,-33.5426833,115.4005833,20141213,5:45:00,Geographe.Bay,Fished,NA,12.8,Lizzy,Yes,Yes,NA
828,Yes,-33.4174667,115.5295667,20141214,11:38:00,Geographe.Bay,Fished,NA,7.6,Lauren,Yes,Yes,NA
832,Yes,-33.4556167,115.5196833,20141216,6:43:00,Geographe.Bay,Fished,NA,12.6,Lizzy,Yes,Yes,NA
839,Yes,-33.4873,115.4085,20141216,13:00:00,Geographe.Bay,Fished,NA,20,Laura,Yes,Yes,NA
842,Yes,-33.5681167,115.11485,20141215,6:40:00,Geographe.Bay,Fished,NA,22.3,Lizzy,Yes,Yes,NA
843,Yes,-33.5999833,115.2586,20141215,13:43:00,Geographe.Bay,Fished,NA,14.6,Damon,Yes,Yes,NA
848,Yes,-33.35185,115.5323,20141214,8:53:00,Geographe.Bay,Fished,NA,10.4,Lauren,Yes,Yes,NA
855,Yes,-33.4901,115.4357667,20141213,8:09:00,Geographe.Bay,Fished,NA,15.2,Lauren,Yes,Yes,NA
858,Yes,-33.5573167,115.3461833,20141217,6:29:00,Geographe.Bay,Fished,NA,16.6,Damon,Yes,Yes,NA
864,Yes,-33.58325,115.3720667,20141217,5:50:00,Geographe.Bay,Fished,NA,12.4,Laura,Yes,Yes,NA
879,Yes,-33.6168833,115.1828667,20141215,10:31:00,Geographe.Bay,Fished,NA,8.1,Laura,Yes,Yes,NA
880,Yes,-33.53655,115.4444,20141216,15:41:00,Geographe.Bay,Fished,NA,10.9,Laura,Yes,Yes,NA
1038,Yes,-33.5333333,115.4200167,20141216,15:33:00,Geographe.Bay,Fished,NA,13.9,Laura,Yes,Yes,NA
1108,Yes,-33.5580167,115.41435,20141216,15:20:00,Geographe.Bay,Fished,NA,11.9,Laura,Yes,Yes,NA
10000,Yes,-33.4135833,115.3645833,20141214,6:27:00,Geographe.Bay,Fished,NA,16.4,Lauren,Yes,Yes,NA
10001,Yes,-33.4217167,115.3722167,20141214,6:17:00,Geographe.Bay,Fished,NA,15.9,Lauren,Yes,Yes,NA
10002,Yes,-33.4234167,115.3889333,20141214,6:13:00,Geographe.Bay,Fished,NA,15.4,Lauren,Yes,Yes,NA
10003,Yes,-33.4213,115.35935,20141214,6:23:00,Geographe.Bay,Fished,NA,16.5,Lauren,Yes,Yes,NA
10004,Yes,-33.4039167,115.3976,20141214,7:03:00,Geographe.Bay,Fished,NA,15.3,Lauren,Yes,Yes,NA
10005,Yes,-33.4777667,115.3694,20141213,10:21:00,Geographe.Bay,Fished,NA,24.6,Laura,Yes,Yes,NA
11R1,Yes,-33.35885,115.3694,20141211,9:09:00,Geographe.Bay,Fished,NA,30.4,Lizzy,Yes,Yes,NA
11R2,Yes,-33.3967333,115.5076167,20141211,12:26:00,Geographe.Bay,Fished,NA,18.6,Lizzy,Yes,Yes,NA
11R3,Yes,-33.41215,115.5204667,20141211,12:40:00,Geographe.Bay,Fished,NA,14.7,Lauren,Yes,Yes,NA
11R4,Yes,-33.4197,115.51755,20141211,12:48:00,Geographe.Bay,Fished,NA,14.5,Lauren,Yes,Yes,NA
12RC1,Yes,-33.5932167,115.2132833,20141212,6:09:00,Geographe.Bay,Fished,NA,26.5,Laura,Yes,Yes,NA
12RC2,Yes,-33.5916,115.23785,20141212,8:23:00,Geographe.Bay,Fished,NA,17.6,Lauren,Yes,Yes,NA
12RC3,Yes,-33.5914667,115.24145,20141212,8:32:00,Geographe.Bay,Fished,NA,17.9,Lauren,Yes,Yes,NA
12RC5,Yes,-33.5621333,115.3443,20141212,11:16:00,Geographe.Bay,Fished,NA,14.2,Lizzy,Yes,Yes,NA
12RC6,Yes,-33.5711,115.3481333,20141212,11:22:00,Geographe.Bay,Fished,NA,14.7,laura,Yes,Yes,NA
12RC7,Yes,-33.5118,115.41785,20141212,13:38:00,Geographe.Bay,Fished,NA,15.2,laura,Yes,Yes,NA
12RC8,Yes,-33.5148667,115.41815,20141212,13:41:00,Geographe.Bay,Fished,NA,14.1,laura,Yes,Yes,NA
12RC9,Yes,-33.5162167,115.4064167,20141212,13:48:00,Geographe.Bay,Fished,NA,14.5,Lauren,Yes,Yes,NA
13RC1,No,-33.5059833,115.43075,20141213,6:11:00,Geographe.Bay,Fished,NA,13.8,Lauren,Yes,Yes,NA
13RC11,Yes,-33.3740333,115.36925,20141213,13:23:00,Geographe.Bay,Fished,NA,31,Laura,Yes,Yes,NA
13RC12,Yes,-33.3743667,115.3668167,20141213,13:25:00,Geographe.Bay,Fished,NA,31.3,Laura,Yes,Yes,NA
13RC13,Yes,-33.3754833,115.3631167,20141213,13:31:00,Geographe.Bay,Fished,NA,31.1,Lizzy,Yes,Yes,NA
13RC15,Yes,-33.3768333,115.3559333,20141213,13:39:00,Geographe.Bay,Fished,NA,32.5,Laura,Yes,Yes,NA
13RC2,Yes,-33.49485,115.45595,20141213,6:27:00,Geographe.Bay,Fished,NA,13.4,Lizzy,Yes,Yes,NA
13RC3,Yes,-33.4839333,115.45155,20141213,8:00:00,Geographe.Bay,Fished,NA,13.6,Lauren,Yes,Yes,NA
13RC4,Yes,-33.4993833,115.3964667,20141213,8:30:00,Geographe.Bay,Fished,NA,19.5,Lizzy,Yes,Yes,NA
13RC5,Yes,-33.4839333,115.4656167,20141213,10:05:00,Geographe.Bay,Fished,NA,26.8,Lizzy,Yes,Yes,NA
13RC6,Yes,-33.3809667,115.3892333,20141213,13:07:00,Geographe.Bay,Fished,NA,29.7,Lauren,Yes,Yes,NA
13RC7,Yes,-33.3774333,115.38605,20141213,13:10:00,Geographe.Bay,Fished,NA,29.5,Lizzy,Yes,Yes,NA
13RC8,Yes,-33.3726,115.3791,20141213,13:14:00,Geographe.Bay,Fished,NA,30.4,Lizzy,Yes,Yes,NA
13RC9,Yes,-33.3730667,115.3747833,20141213,13:18:00,Geographe.Bay,Fished,NA,30.9,Lauren,Yes,Yes,NA
GBR1-1,Yes,-33.5936167,115.19625,20141217,12:02:00,Geographe.Bay,Fished,NA,17.3,Laura,Yes,Yes,NA
GBR1-2,Yes,-33.5936,115.1995333,20141217,12:05:00,Geographe.Bay,Fished,NA,16,Lizzy,Yes,Yes,NA
GBR1-3,Yes,-33.5937833,115.2022833,20141217,12:07:00,Geographe.Bay,Fished,NA,15.8,Damon,Yes,Yes,NA
GBR1-4,Yes,-33.59345,115.2055167,20141217,12:09:00,Geographe.Bay,Fished,NA,16.8,Lauren,Yes,Yes,NA
GBR2-1,Yes,-33.5938333,115.19065,20141217,13:40:00,Geographe.Bay,Fished,NA,17.7,Laura,Yes,Yes,NA
GBR2-2,Yes,-33.5940167,115.1883833,20141217,13:42:00,Geographe.Bay,Fished,NA,16.2,Laura,Yes,Yes,NA
GBR2-3,Yes,-33.5940667,115.1864833,20141217,13:44:00,Geographe.Bay,Fished,NA,16.4,Lauren,Yes,Yes,NA
GBR2-4,Yes,-33.59365,115.193,20141217,13:38:00,Geographe.Bay,Fished,NA,16.2,Lizzy,Yes,Yes,NA
GBR3-1,Yes,-33.5944667,115.1819333,20141217,13:53:00,Geographe.Bay,Fished,NA,17.6,Lauren,Yes,Yes,NA
GBR3-2,Yes,-33.59365,115.193,20141217,13:30:00,Geographe.Bay,Fished,NA,17.9,Lauren,Yes,Yes,NA
GBR3-3,Yes,-33.59365,115.1839667,20141217,13:47:00,Geographe.Bay,Fished,NA,17,Lizzy,Yes,Yes,NA
GBR3-4,Yes,-33.5938667,115.1851,20141217,13:46:00,Geographe.Bay,Fished,NA,16.6,Lauren,Yes,Yes,NA
GBR4-1,Yes,-33.5933333,115.2080833,20141217,12:11:00,Geographe.Bay,Fished,NA,16.1,Damon,Yes,Yes,NA
GBR4-2,Yes,-33.5928333,115.2102333,20141217,12:13:00,Geographe.Bay,Fished,NA,16.3,Lauren,Yes,Yes,NA
GBR5-1,Yes,-33.5932167,115.2119333,20141217,12:15:00,Geographe.Bay,Fished,NA,16.2,Laura,Yes,Yes,NA
GBR5-2,Yes,-33.5927333,115.2148,20141217,12:17:00,Geographe.Bay,Fished,NA,16.6,Laura,Yes,Yes,NA
GBR5-3,Yes,-33.5924167,115.2175167,20141217,12:19:00,Geographe.Bay,Fished,NA,16.4,Lizzy,Yes,Yes,NA
GBR-BOB,Yes,-33.59235,115.2205667,20141217,12:23:00,Geographe.Bay,Fished,NA,16.7,Lizzy,Yes,Yes,NA
RB1,Yes,-33.53455,115.2176667,20141209,6:49:00,Geographe.Bay,Fished,NA,28,Lizzy,Yes,Yes,NA
RB2,Yes,-33.5085667,115.2254833,20141209,9:39:00,Geographe.Bay,Fished,NA,30,Lizzy,Yes,Yes,NA
RC1,Yes,-33.4628,115.23995,20141209,10:09:00,Geographe.Bay,Fished,NA,34.2,Laura,Yes,Yes,NA
RC2,Yes,-33.48635,115.1780333,20141209,10:34:00,Geographe.Bay,Fished,NA,34.3,Lizzy,Yes,Yes,NA
RC3,Yes,-33.4704833,115.1684167,20141209,13:11:00,Geographe.Bay,Fished,NA,35,Lauren,Yes,Yes,NA
