Sample,Latitude,Longitude,Date,Time,Time.out,Planned.or.exploratory,Site,Location,Status,Depth,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Successful.count,Successful.length,Observer,Left.cam,Right.cam,Rear.cam,Raw.hdd.number,Con.hdd.number,Habitat.image.saved,Video.notes,Vis.in.metres,Habitat.classification ,Length.analyst,Length.complete.date.yyyymmdd,Notes
1,-34.128599,114.930865,20200602,9:10,10:31,MBH,,South-west,No-take,46.7,,,,,,,372,371,422,1,,,,,,,,
2,-34.125316,114.928838,20200602,9:18,10:41,MBH,,South-west,No-take,44.4,,,,,,,378,377,439,1,,,,,,,,
3,-34.126906,114.925945,20200602,9:27,10:51,MBH,,South-west,No-take,39.3,,,,,,,367,368,441,1,,,,,,,,
4,-34.122634,114.920337,20200602,9:44,11:00,MBH,,South-west,No-take,44.1,,,,,,,373,374,423,1,,,,,,,,
5,-34.131497,114.915753,20200602,9:57,11:09,MBH,,South-west,No-take,44.1,,,,,,,375,376,416,1,,,,,,,,
6,-34.132842,114.912405,20200602,10:06,11:18,MBH,,South-west,No-take,43.2,,,,,,,369,370,440,1,,,,,,,,
7,-34.134771,114.910241,20200602,10:16,11:22,MBH,,South-west,No-take,43.9,,,,,,,564,561,420,1,,,,,,,,
8,-34.129352,114.911755,20200602,13:48,14:48,MBH,,South-west,No-take,39.6,,,,,,,367,368,441,1,,,RE-DO,,,,,
9,-34.119541,114.916105,20200602,11:45,12:49,MBH,,South-west,No-take,43.8,,,,,,,369,370,440,1,,,,,,,,
10,-34.117294,114.918685,20200602,11:51,12:57,MBH,,South-west,No-take,45.7,,,,,,,375,376,416,1,,,,,,,,
11,-34.117752,114.92306,20200602,13:55,14:57,MBH,,South-west,No-take,45.08,,,,,,,378,377,439,1,,,RE-DO,,,,,
12,-34.132262,114.928545,20200602,12:03,13:30,MBH,,South-west,No-take,40.1,,,,,,,367,368,441,1,,,,,,,,
13,-34.128506,114.930547,20200602,12:09,13:22,Captains pick,,South-west,No-take,45.2,,,,,,,378,377,439,1,,,,,,,,
14,-34.128381,114.925457,20200602,12:16,13:14,Captains pick,,South-west,No-take,35,,,,,,,372,371,422,1,,,,,,,,
15,-34.125012,114.91032,20200602,14:09,15:09,Captains pick,,South-west,No-take,43,,,,,,,372,371,422,1,,,In lobster area,,,,,
16,-34.126181,114.906548,20200602,14:14,15:19,Captains pick,,South-west,No-take,40.9,,,,,,,373,374,423,1,,,,,,,,
17,-34.132142,114.92083,20200602,14:20,15:28,Captains pick,,South-west,No-take,40.2,,,,,,,375,376,416,1,,,,,,,,
18,-34.128679,114.924078,20200602,14:25,15:34,Captains pick,,South-west,No-take,35.8,,,,,18 left converted wrong. Check BU to convert again,,369,370,440,1,,,,,,,,
19,-34.122542,114.927818,20200602,14:30,15:44,Captains pick,,South-west,No-take,44.9,,,,,,,564,561,420,1,,,,,,,,
20,-34.130219,114.820233,20200603,8:16,9:17,MBH,,South-west,No-take,51.7,,,,,,,564,561,420,1,,,Used different settings for GoPros from here on 1440,,,,,
21,-34.128151,114.817448,20200603,8:24,9:26,MBH,,South-west,No-take,52.4,,,,,,,369,370,440,1,,,,,,,,
22,-34.126271,114.819552,20200603,8:32,9:36,MBH,,South-west,No-take,51.9,,,,,,,375,376,416,1,,,,,,,,
23,-34.124217,114.817017,20200603,8:38,9:43,MBH,,South-west,No-take,51.3,,,,,,,373,374,423,1,,,,,,,,
24,-34.118739,114.826402,20200603,8:47,9:55,MBH,,South-west,No-take,49.8,,,,,,,372,371,422,1,,,,,,,,
25,-34.116829,114.828432,20200603,8:54,10:01,MBH,,South-west,No-take,48.4,,,,,,,378,377,439,1,,,,,,,,
26,-34.120881,114.828907,20200603,9:02,10:08,MBH,,South-west,No-take,48.4,,,,,,,367,368,441,1,,,,,,,,
27,-34.121824,114.832898,20200603,10:19,11:23,MBH,,South-west,No-take,47.8,,,,,,,367,368,441,1,,,,,,,,
28,-34.112916,114.852137,20200603,10:27,11:34,MBH,,South-west,No-take,44.7,,,,,,,378,377,439,1,,,,,,,,
29,-34.111084,114.855648,20200603,10:31,11:40,MBH,,South-west,No-take,43,,,,,,,372,371,422,1,,,,,,,,
30,-34.112094,114.85946,20200603,10:37,11:47,MBH,,South-west,No-take,42.9,,,,,,,373,374,423,1,,,,,,,,
31,-34.116007,114.860738,20200603,10:42,11:55,MBH,,South-west,No-take,44.4,,,,,,,375,376,416,1,,,,,,,,
32,-34.130076,114.86109,20200603,10:49,12:02,MBH,,South-west,No-take,43.2,,,,,,,369,370,440,1,,,,,,,,
33,-34.133067,114.8627,20200603,10:54,12:06,MBH,,South-west,No-take,43.6,,,,,,,564,561,420,1,,,,,,,,
34,-34.131334,114.866053,20200603,12:18,13:20,MBH,,South-west,No-take,42.7,,,,,,,564,561,420,1,,,,,,,,
35,-34.134801,114.869348,20200603,12:23,13:27,MBH,,South-west,No-take,43.8,,,,,,,369,370,440,1,,,,,,,,
36,-34.130484,114.878263,20200603,12:29,13:33,MBH,,South-west,No-take,42.2,,,,,,,375,376,416,1,,,Was on phone to tim so mark was late. Maybe use MBH planned mark instead.,,,,,
37,-34.126354,114.878937,20200603,12:34,13:42,MBH,,South-west,No-take,41.2,,,,,,,373,374,423,1,,,,,,,,
38,-34.127912,114.883938,20200603,12:39,13:48,MBH,,South-west,No-take,41.8,,,,,,,372,371,422,1,,,,,,,,
39,-34.132294,114.884797,20200603,12:42,13:53,MBH,,South-west,No-take,42.2,,,,,,,378,377,439,1,,,Used old bait.,,,,,
40,-34.133669,114.880443,20200603,12:46,14:00,MBH,,South-west,No-take,41.2,,,,,,,367,368,441,1,,,Used old bait.,,,,,
08 - failed,-34.129336,114.911822,20200602,11:36,12:38,MBH,,South-west,No-take,41.7,,,,No,No,,564,561,420,1,,,Camera not turned on. Re-done.,,,,,
11 - failed,-34.117769,114.923158,20200602,11:55,13:03,MBH,,South-west,No-take,46.7,,,,No,No,,373,374,423,1,,,Facing down. Re-done.,,,,,
